P1_001N,GEO_ID,state,county,tract,block group
1183,1500000US170311504013,17,031,150401,3
1047,1500000US170311504014,17,031,150401,4
837,1500000US170311504021,17,031,150402,1
1243,1500000US170311504022,17,031,150402,2
1751,1500000US170311504023,17,031,150402,3
1566,1500000US170311505011,17,031,150501,1
888,1500000US170311505012,17,031,150501,2
1369,1500000US170311505013,17,031,150501,3
1568,1500000US170311505021,17,031,150502,1
1347,1500000US170311505022,17,031,150502,2
1324,1500000US170311505023,17,031,150502,3
1085,1500000US170311506001,17,031,150600,1
837,1500000US170311506004,17,031,150600,4
938,1500000US170311506002,17,031,150600,2
1022,1500000US170311506003,17,031,150600,3
1147,1500000US170311507002,17,031,150700,2
1088,1500000US170311507001,17,031,150700,1
935,1500000US170311507003,17,031,150700,3
1259,1500000US170311507004,17,031,150700,4
820,1500000US170311508001,17,031,150800,1
1073,1500000US170311508004,17,031,150800,4
923,1500000US170311508002,17,031,150800,2
1186,1500000US170311508003,17,031,150800,3
901,1500000US170311508005,17,031,150800,5
911,1500000US170311510012,17,031,151001,2
1922,1500000US170311510011,17,031,151001,1
1393,1500000US170311510023,17,031,151002,3
1300,1500000US170311510021,17,031,151002,1
1244,1500000US170311510022,17,031,151002,2
651,1500000US170311510024,17,031,151002,4
1538,1500000US170311511001,17,031,151100,1
1357,1500000US170311511002,17,031,151100,2
1189,1500000US170311511003,17,031,151100,3
1056,1500000US170311511004,17,031,151100,4
1232,1500000US170311512001,17,031,151200,1
1231,1500000US170311512002,17,031,151200,2
1417,1500000US170311512003,17,031,151200,3
1648,1500000US170311601001,17,031,160100,1
796,1500000US170311601002,17,031,160100,2
626,1500000US170311602001,17,031,160200,1
668,1500000US170311602002,17,031,160200,2
616,1500000US170311602003,17,031,160200,3
1368,1500000US170311602004,17,031,160200,4
998,1500000US170311603003,17,031,160300,3
1944,1500000US170311603001,17,031,160300,1
827,1500000US170311603002,17,031,160300,2
935,1500000US170311604003,17,031,160400,3
2356,1500000US170311604001,17,031,160400,1
1563,1500000US170311604002,17,031,160400,2
1838,1500000US170311605011,17,031,160501,1
1865,1500000US170311605012,17,031,160501,2
651,1500000US170311605021,17,031,160502,1
1500,1500000US170311605022,17,031,160502,2
1149,1500000US170311605023,17,031,160502,3
1430,1500000US170311606011,17,031,160601,1
740,1500000US170311606012,17,031,160601,2
1210,1500000US170311606013,17,031,160601,3
1062,1500000US170311606021,17,031,160602,1
1350,1500000US170311606023,17,031,160602,3
1069,1500000US170311606022,17,031,160602,2
1674,1500000US170311607003,17,031,160700,3
849,1500000US170311607001,17,031,160700,1
932,1500000US170311607002,17,031,160700,2
1240,1500000US170311607004,17,031,160700,4
1071,1500000US170311607005,17,031,160700,5
1185,1500000US170311608001,17,031,160800,1
730,1500000US170311608004,17,031,160800,4
917,1500000US170311608002,17,031,160800,2
841,1500000US170311608003,17,031,160800,3
1324,1500000US170311608005,17,031,160800,5
1055,1500000US170311609002,17,031,160900,2
1355,1500000US170311609001,17,031,160900,1
852,1500000US170311610001,17,031,161000,1
1047,1500000US170311610002,17,031,161000,2
920,1500000US170311611001,17,031,161100,1
1020,1500000US170311611002,17,031,161100,2
1187,1500000US170311612001,17,031,161200,1
1633,1500000US170311612002,17,031,161200,2
1056,1500000US170311613002,17,031,161300,2
637,1500000US170311613001,17,031,161300,1
